"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Vmax_buildSrxn1.1." "Km.1." "hill.1." "LnPrior" "LnData" "LnPosterior"
"87" 490086 0.0213835 0.0288098 133714 103729 1.02576 -20.18171 -1365.704 -1385.886
"88" 490087 0.0213835 0.0287644 133852 103909 1.02576 -20.04926 -1366.049 -1386.098
"89" 490088 0.0213835 0.0287644 133852 103561 1.02576 -21.1964 -1364.835 -1386.031
"90" 490089 0.021371 0.0290321 133852 103127 1.02637 -22.83168 -1365.604 -1388.436
"91" 490090 0.0211756 0.0287866 133852 103127 1.02632 -22.80336 -1362.405 -1385.208
"92" 490091 0.0211756 0.028583 133852 103127 1.02632 -22.77754 -1363.26 -1386.037
"93" 490092 0.0211756 0.0287521 133547 102626 1.02632 -23.90815 -1362.155 -1386.064
"94" 490093 0.0211756 0.0289112 133500 102845 1.02632 -22.84819 -1362.7 -1385.549
"95" 490094 0.0211756 0.0288331 133667 102845 1.02664 -23.35083 -1363.344 -1386.695
"96" 490095 0.0211756 0.0287014 133667 102523 1.02686 -24.73495 -1361.611 -1386.346
"97" 490096 0.0211756 0.02876 133667 102523 1.02667 -24.7424 -1361.275 -1386.017
"98" 490097 0.0211756 0.02876 133601 102523 1.02661 -24.53566 -1361.39 -1385.926
"99" 490098 0.0211756 0.02876 133499 102523 1.02688 -24.22661 -1362.805 -1387.031
"100" 490099 0.0210544 0.0289273 133734 102523 1.02688 -24.97901 -1361.78 -1386.759
"101" 490100 0.0210544 0.0284671 133286 102523 1.02688 -23.57909 -1362.286 -1385.865
"102" 490101 0.0210544 0.0284671 133286 102523 1.02682 -23.57908 -1362.204 -1385.783
"103" 490102 0.0210544 0.0284547 133613 102523 1.02685 -24.53837 -1362.06 -1386.599
"104" 490103 0.0210544 0.0285862 133613 102843 1.02685 -23.16181 -1362.879 -1386.041
"105" 490104 0.0210544 0.0283573 133613 102843 1.02685 -23.13326 -1362.883 -1386.017
"106" 490105 0.0210544 0.0284614 133613 102496 1.02712 -24.66124 -1361.65 -1386.312
"107" 490106 0.0210544 0.0284614 133164 102359 1.02712 -24.00042 -1362.829 -1386.829
"108" 490107 0.0212057 0.0284614 133975 102826 1.0269 -24.40331 -1362.867 -1387.27
"109" 490108 0.0212057 0.0284614 133975 102826 1.0269 -24.40331 -1362.867 -1387.27
"110" 490109 0.0213575 0.0284456 133975 102826 1.02694 -24.39873 -1363.941 -1388.34
"111" 490110 0.0213575 0.0285723 133975 102971 1.02675 -23.81483 -1363.625 -1387.44
"112" 490111 0.0213575 0.0285723 133975 102971 1.02696 -23.81483 -1364.217 -1388.032
"113" 490112 0.0213279 0.0285723 133883 102971 1.02696 -23.49861 -1364.578 -1388.077
"114" 490113 0.0213279 0.0285723 133884 102971 1.02674 -23.50308 -1363.647 -1387.15
"115" 490114 0.0213279 0.0285723 134014 102926 1.02645 -24.12974 -1364.709 -1388.839
"116" 490115 0.0212119 0.0289746 134291 103114 1.02614 -24.43943 -1361.53 -1385.969
"117" 490116 0.0212119 0.0289746 134291 103114 1.02625 -24.43943 -1361.297 -1385.737
"118" 490117 0.0212119 0.0290642 134291 103114 1.0262 -24.45109 -1361.161 -1385.612
"119" 490118 0.02127 0.0291384 133990 103114 1.02631 -23.36881 -1364.296 -1387.665
"120" 490119 0.021209 0.0291384 133990 103114 1.02631 -23.36989 -1363.939 -1387.309
"121" 490120 0.021209 0.0288297 133795 103114 1.02631 -22.66966 -1362.799 -1385.468
"122" 490121 0.021209 0.0289244 134198 103114 1.02631 -24.08338 -1361.534 -1385.617
"123" 490122 0.021144 0.0289244 133915 103114 1.02625 -23.08305 -1361.911 -1384.994
"124" 490123 0.0212041 0.0289244 133470 102808 1.02609 -22.91528 -1362.047 -1384.962
"125" 490124 0.0215727 0.0289244 133470 103172 1.02609 -21.43725 -1366.627 -1388.064
"126" 490125 0.0211322 0.0288619 133532 103263 1.02609 -21.27571 -1363.85 -1385.126
"127" 490126 0.0211322 0.0288619 133574 103263 1.02613 -21.40257 -1363.903 -1385.305
"128" 490127 0.0211322 0.0285479 133398 103263 1.02627 -20.83971 -1364.256 -1385.096
"129" 490128 0.0211322 0.0284045 133233 103263 1.02627 -20.36023 -1364.933 -1385.293
"130" 490129 0.0211322 0.0284174 133386 103263 1.02627 -20.7905 -1364.493 -1385.284
"131" 490130 0.0211322 0.0285065 133593 103263 1.02627 -21.41445 -1363.734 -1385.149
"132" 490131 0.0210499 0.0285065 133841 103969 1.02579 -19.79895 -1364.39 -1384.189
"133" 490132 0.0210499 0.0286237 133841 103861 1.02579 -20.15166 -1363.681 -1383.833
"134" 490133 0.0210499 0.028849 133841 103861 1.02579 -20.18034 -1364.301 -1384.481
