"time" "Srxn1_max" "NRF2_max" "time2" "Srxn1_mean" "NRF2_mean" "time3" "Srxn1_min" "NRF2_min" "dose1" "dose2" "Simulation" "SRXN1_observed" "SRXN1_SD"
"Conti_0.75_0.7517" 16 3.52571243575523 0.317871901841746 16 2.57713178884333 0.208255624755567 16 1.74796848323664 0.15034117658261 0.75 0.75 "simulation2" 4.22035595914165 1.49936364565411
"Conti_0.75_0.7518" 17 3.6614339292179 0.321647290270089 17 2.6636639796049 0.20085977775331 17 1.81730687652799 0.138247271912846 0.75 0.75 "simulation2" 4.38969166683416 1.57598416408937
"Conti_0.75_0.7519" 18 3.79614379641479 0.320155083003034 18 2.74465919663382 0.190615047626719 18 1.880126622049 0.125710669770781 0.75 0.75 "simulation2" 4.42267602009014 1.5423263431668
"Conti_0.75_0.7520" 19 3.92482564060768 0.304397144124663 19 2.82295346399289 0.191209229525022 19 1.93933674820029 0.120895460456779 0.75 0.75 "simulation2" 4.39404459389624 1.50244080573953
"Conti_0.75_0.7521" 20 4.04508529484521 0.296614790482924 20 2.89669234164906 0.173014224638275 20 1.99245884660303 0.0950736771647096 0.75 0.75 "simulation2" 4.4705737688624 1.55884425515714
"Conti_0.75_0.7522" 21 4.16190977991231 0.296348342396664 21 2.961750523851 0.158070457222602 21 2.03584617163429 0.070857616112307 0.75 0.75 "simulation2" 4.6519770738629 1.74869170695662
"Conti_0.75_0.7523" 22 4.28080413974102 0.30629969637518 22 3.02517765275717 0.167133381828296 22 2.07653037778636 0.0809177458128114 0.75 0.75 "simulation2" 4.59814532179502 1.86470304352522
"Conti_0.75_0.7524" 23 4.39817198404776 0.294477738175634 23 3.08941390131244 0.163733049161359 23 2.1215748162221 0.0957890441681271 0.75 0.75 "simulation2" 4.49666182562568 1.90397629506465
"Conti_0.75_0.7525" 24 4.50461908024521 0.285013600780431 24 3.15323926184242 0.172766771803616 24 2.16842259370389 0.0967802940104902 0.75 0.75 "simulation2" 4.46003197278405 2.12629272281032
"Conti_0.75_0.7526" 25 4.65439120738505 0.434720759938369 25 3.24245467900461 0.272430646206003 25 2.22202312319561 0.136735676466175 0.75 0.75 "simulation2" 4.85236887011911 1.45441333112654
