"time" "Simulation" "dose1" "dose2" "Nrf2_observed" "Nrf2max_observed" "Nrf2min_observed" "Nrf2_SD" "Srxn1_observed" "Srxn1_SD" "medianM" "LCLM" "UCLM" "medianH" "LCLH" "UCLH" "medianL" "LCLL" "UCLL" "Chemical" "Times" "variables"
"Srxn1_2.3" 2 "Simu2" 0.32 0 0.0256174765453304 0.0512349530906608 0 0.0362285827641809 0.0065751053914674 0.0113884166031416 0.0721421 0.06557444 0.0789440175 0.07893 0.072380585 0.085606975 0.069883 0.0632667025 0.0767427925 "Andr" 2 "Srxn1"
"Srxn1_2.4" 3 "Simu2" 0.32 0 0.0387178913827577 0.0774357827655153 0 0.0547553670999843 0.00732512759851388 0.012687493172551 0.105989 0.09626468 0.116042175 0.1135145 0.103845825 0.12343305 0.103458 0.093689245 0.11357825 "Andr" 3 "Srxn1"
"Srxn1_2.5" 4 "Simu2" 0.32 0 0.0656711797331079 0.112513404996362 0.0188289544698541 0.0662449102590292 0.0162986642571343 0.0115991016193586 0.1398125 0.127125925 0.152976175 0.1505125 0.137902875 0.16341905 0.13618 0.1233829 0.1494723 "Andr" 4 "Srxn1"
"Srxn1_2.6" 5 "Simu2" 0.32 0 0.0616979847850518 0.102396682489654 0.0209992870804501 0.0575566502647705 0.0714729781409732 0.04835579051742 0.176928 0.16148575 0.19291435 0.1971485 0.181902975 0.21255345 0.16849 0.1527859 0.18483525 "Andr" 5 "Srxn1"
"Srxn1_2.7" 6 "Simu2" 0.32 0 0.0469255985103787 0.0732848509517744 0.0205663460689829 0.037277612296638 0.205913439961221 0.125960409428465 0.2150135 0.196942325 0.233629025 0.2462285 0.228667675 0.26420045 0.200399 0.1819501 0.219669325 "Andr" 6 "Srxn1"
"Srxn1_2.8" 7 "Simu2" 0.32 0 0.068877352069269 0.0895417464639491 0.0482129576745889 0.0292238668111832 0.342657938834908 0.197920376521558 0.2510355 0.23031465 0.272264575 0.289432 0.269324875 0.3100742 0.2319165 0.210660675 0.25396905 "Andr" 7 "Srxn1"
"Srxn1_2.9" 8 "Simu2" 0.32 0 0.0549995276561952 0.0573735839141724 0.0526254713982179 0.00335742255786813 0.458287888852526 0.248174169684588 0.2966105 0.273591975 0.32026435 0.344222 0.321857825 0.3675502 0.2697915 0.24618 0.29415725 "Andr" 8 "Srxn1"
"Srxn1_2.10" 9 "Simu2" 0.32 0 0.100479695518849 0.182477724524646 0.0184816665130518 0.11596272470786 0.741374728318678 0.272523988226299 0.337059 0.3115995 0.36323005 0.3843035 0.359450525 0.410188325 0.310085 0.284100525 0.33680785 "Andr" 9 "Srxn1"
"Srxn1_2.11" 10 "Simu2" 0.32 0 0.0324449569858695 0.064889913971739 0 0.0458840982000284 0.655404467817747 0.295211978742018 0.4015905 0.3735435 0.430175225 0.512022 0.484404475 0.5408444 0.3389785 0.31046395 0.3682815 "Andr" 10 "Srxn1"
"Srxn1_2.12" 11 "Simu2" 0.32 0 0.0202184692723367 0.0404369385446733 0 0.0285932334553622 0.720980684599556 0.369510081270612 0.430863 0.4004971 0.461990025 0.550412 0.52048385 0.581537275 0.365582 0.334664425 0.397334175 "Andr" 11 "Srxn1"
"Srxn1_2.13" 12 "Simu2" 0.32 0 0.0209406154740059 0.0418812309480118 0 0.029614502407779 0.811967159125904 0.373907804416061 0.45651 0.4237779 0.489951025 0.5770635 0.5450497 0.610510075 0.391493 0.358244 0.425735325 "Andr" 12 "Srxn1"
"Srxn1_2.14" 13 "Simu2" 0.32 0 0.0208582710095739 0.0417165420191478 0 0.0294980497493929 0.885284797673247 0.386475887391585 0.481334 0.446266925 0.517044975 0.602414 0.568073875 0.637863925 0.416729 0.381286125 0.45326275 "Andr" 13 "Srxn1"
"Srxn1_2.15" 14 "Simu2" 0.32 0 0.0214332872008162 0.0428665744016323 0 0.0303112454456319 0.991670721170638 0.385322245733464 0.505222 0.468049875 0.542947275 0.626 0.58947425 0.663243425 0.441251 0.403609975 0.480051825 "Andr" 14 "Srxn1"
"Srxn1_2.16" 15 "Simu2" 0.32 0 0.00813304928396796 0.0162660985679359 0 0.0115018686008363 1.03167939110938 0.429475227873459 0.528264 0.489069975 0.567970375 0.648159 0.6094803 0.6874331 0.4651595 0.4253698 0.50613915 "Andr" 15 "Srxn1"
"Srxn1_2.17" 16 "Simu2" 0.32 0 0.0144701322420323 0.0289402644840645 0 0.0204638572660142 1.0695406835306 0.418996279040234 0.5499895 0.508797 0.591711725 0.667035 0.62651395 0.708297225 0.4884695 0.44665645 0.531547275 "Andr" 16 "Srxn1"
"Srxn1_2.18" 17 "Simu2" 0.32 0 0.0261547890178829 0.0523095780357659 0 0.0369884573500969 1.04750881316271 0.423907313313092 0.5712855 0.5280858 0.615191075 0.6859475 0.643532275 0.7290794 0.5111855 0.46742695 0.556210875 "Andr" 17 "Srxn1"
"Srxn1_2.19" 18 "Simu2" 0.32 0 0.0267525742065136 0.0535051484130272 0 0.0378338532712442 1.08211758727617 0.484158947896506 0.5922775 0.547151875 0.6383591 0.7053915 0.661096025 0.7505195 0.533317 0.487661025 0.580368475 "Andr" 18 "Srxn1"
"Srxn1_2.20" 19 "Simu2" 0.32 0 0.0117880845147517 0.0235761690295033 0 0.0166708689951621 1.06542714751801 0.48382415064177 0.6126735 0.565764375 0.660702475 0.7239845 0.6778274 0.7709473 0.55487 0.507311875 0.603840275 "Andr" 19 "Srxn1"
"Srxn1_2.21" 20 "Simu2" 0.32 0 0 0 0 0 1.05290164569895 0.523974338037877 0.632222 0.583510225 0.6822142 0.740856 0.69280965 0.78982615 0.5758375 0.526489525 0.6266982 "Andr" 20 "Srxn1"
"Srxn1_2.22" 21 "Simu2" 0.32 0 0.0146939322856612 0.0293878645713225 0 0.020780358322974 1.04219093135002 0.534649727329128 0.6512295 0.60071105 0.70300285 0.757002 0.70719555 0.807648425 0.5962765 0.54514645 0.649029075 "Andr" 21 "Srxn1"
"Srxn1_2.23" 22 "Simu2" 0.32 0 0.006334312412271 0.012668624824542 0 0.00895807052174189 0.974714264457184 0.491034373035812 0.66976 0.617519875 0.723176175 0.7729595 0.721452525 0.825157675 0.61616 0.5633536 0.6706002 "Andr" 22 "Srxn1"
"Srxn1_2.24" 23 "Simu2" 0.32 0 0.00617490561176609 0.0123498112235322 0 0.00873263526253334 1.01623554808542 0.531226528020939 0.6877615 0.63389525 0.742878475 0.7883515 0.735231475 0.8421631 0.6355315 0.5811121 0.69169695 "Andr" 23 "Srxn1"
