"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Sul"	"decay_Sul"	"LnPrior"	"LnData"	"LnPosterior"
4995136	0.0232466	0.0162124	0.0137614	1.00314	130308	107326	9.87945	8.33169	0.149433	-17.8597	-12887.99	-12905.85
4995137	0.0232785	0.0162124	0.0137614	1.00314	130308	107326	9.87945	8.33169	0.149433	-17.86056	-12888.76	-12906.62
4995138	0.0232785	0.0162181	0.0137614	1.00314	130318	107257	9.87945	7.65109	0.149433	-15.94332	-12890.03	-12905.98
4995139	0.0232785	0.0162181	0.0138067	1.00298	130318	107277	9.87945	7.65109	0.149433	-15.72491	-12890.09	-12905.81
4995140	0.0232785	0.016347	0.0136498	1.00319	130307	107277	9.87945	10.0747	0.149433	-18.18127	-12890.5	-12908.68
4995141	0.0232785	0.0162902	0.0137425	1.00319	130307	107277	9.87945	11.6876	0.149382	-19.79498	-12888.87	-12908.67
4995142	0.0232785	0.0162902	0.0137425	1.00319	130487	107236	9.93765	11.6876	0.149138	-16.76006	-12887.98	-12904.74
4995143	0.0232785	0.0162902	0.0136579	1.00319	130547	107236	9.93765	11.6876	0.148889	-17.16696	-12888.81	-12905.97
4995144	0.0234658	0.0162902	0.0136579	1.00335	130547	107009	9.96928	11.6876	0.148889	-15.64078	-12891.44	-12907.08
4995145	0.0234658	0.0163256	0.0136579	1.00344	130320	107009	9.96928	11.6876	0.148843	-17.66431	-12888.2	-12905.87
4995146	0.0241554	0.0162108	0.0136579	1.00344	130320	107035	9.96928	11.6907	0.149585	-17.30982	-12888.47	-12905.78
4995147	0.0241554	0.0162108	0.0136579	1.00344	130320	107035	9.96928	13.0772	0.149585	-18.78017	-12887.19	-12905.97
4995148	0.0241554	0.0162005	0.0136579	1.00344	130393	107071	9.96928	11.8578	0.149585	-16.15753	-12889.3	-12905.46
4995149	0.0241554	0.0162005	0.0136579	1.00344	130478	107076	9.93784	6.92361	0.150184	-11.27122	-12896.03	-12907.3
4995150	0.022017	0.0160895	0.0136579	1.00338	130478	106988	9.91874	9.96332	0.150184	-13.52253	-12893.45	-12906.98
4995151	0.0214299	0.0160895	0.0136579	1.00363	130478	106988	9.89848	9.96332	0.150184	-14.27152	-12893.46	-12907.73
4995152	0.0229496	0.0160721	0.0136579	1.00363	130381	106908	9.89848	10.751	0.150184	-16.62048	-12890.08	-12906.71
4995153	0.0229496	0.0160721	0.0136579	1.00363	130322	107032	9.89848	10.751	0.150184	-18.14877	-12891.6	-12909.75
4995154	0.024934	0.0160721	0.0136579	1.00363	130322	107097	9.94078	10.5194	0.150223	-18.3473	-12890.98	-12909.33
4995155	0.0245735	0.0160532	0.0136362	1.00363	130486	107097	9.94078	10.5194	0.150223	-16.37794	-12891.35	-12907.72
4995156	0.0245735	0.0160796	0.0136362	1.0037	130486	107148	9.94078	7.72393	0.150146	-15.50847	-12891.87	-12907.38
4995157	0.0245735	0.0160796	0.0136362	1.00373	130511	107149	9.94078	7.72393	0.150146	-14.54451	-12892.02	-12906.57
4995158	0.0245735	0.0160796	0.0136362	1.00373	130588	107149	9.93535	7.8848	0.150146	-14.8871	-12891.99	-12906.88
4995159	0.0245735	0.0159496	0.0136362	1.00412	130588	106958	9.93535	7.8848	0.150146	-15.5019	-12890.97	-12906.47
4995160	0.0224647	0.0159496	0.0133688	1.00412	130501	106958	9.94089	7.8848	0.150146	-15.24338	-12894.3	-12909.54
4995161	0.0222276	0.0159211	0.0133688	1.00412	130501	106993	9.95185	7.8848	0.150146	-15.56203	-12892.55	-12908.11
4995162	0.0222276	0.0159211	0.0133688	1.00412	130501	106963	9.95185	7.8848	0.150146	-15.30664	-12889.88	-12905.19
4995163	0.0222276	0.0158768	0.0133688	1.00412	130501	106963	9.95185	7.8848	0.150806	-14.44304	-12889.84	-12904.29
