"iter"	"buildSrxn1Base.1."	"degradSrxn1.1."	"Km_NRF2_ACETYLATED_SRXN1.1."	"hill_Srxn1.1."	"Vmax_buildSrxn1.1."	"Km_Srxn1.1."	"hill_acetylated_SRXN1.1."	"r.1."	"decay.1."	"r.1.1."	"decay.1.1."	"r.1.2."	"decay.1.2."	"r.1.3."	"decay.1.3."	"r.1.4."	"decay.1.4."	"LnPrior"	"LnData"	"LnPosterior"
4995051	0.0214727	0.0163774	0.0141896	1.00312	130597	106994	9.77996	0.915252	0.0363589	9.57914	0.147774	0.631206	0.291271	1.10848	0.124024	1.15417	0.101662	-12.58124	-12899.56	-12912.14
4995052	0.0232578	0.0163774	0.0141896	1.00341	130690	107075	9.75451	2.86699	0.0363589	7.52865	0.147774	0.631206	0.291271	1.13438	0.124024	1.15417	0.101734	-13.42437	-12900.54	-12913.97
4995053	0.0232578	0.0162716	0.0141896	1.00341	130690	107030	9.72031	2.86699	0.0363589	8.79975	0.147774	0.631206	0.291271	1.13304	0.124389	1.15417	0.102317	-14.05704	-12894.82	-12908.88
4995054	0.0239707	0.0162609	0.0141896	1.00366	130653	106984	9.72031	1.95609	0.0363589	9.28881	0.147774	0.649491	0.290488	1.12899	0.124389	1.15417	0.102317	-14.5564	-12895.61	-12910.17
4995055	0.0239707	0.0162975	0.0141896	1.00348	130519	106984	9.99063	1.36919	0.0363589	9.28881	0.148217	0.651891	0.290488	1.12899	0.124389	1.15417	0.102317	-13.21647	-12893.24	-12906.45
4995056	0.0234939	0.0162975	0.0141896	1.00348	130585	106984	9.99063	1.93778	0.0363589	9.92731	0.148217	0.651891	0.293635	1.12899	0.124389	1.15417	0.102305	-13.9982	-12892.12	-12906.12
4995057	0.0234939	0.0161857	0.0141896	1.00352	130421	106984	9.99063	1.42459	0.0363589	10.0429	0.148343	0.649374	0.293635	1.12899	0.124389	1.15417	0.102305	-14.48719	-12890.68	-12905.16
4995058	0.0234939	0.0161857	0.0141896	1.00322	130246	107079	9.99063	1.95629	0.0370349	7.49415	0.148343	0.649374	0.293635	1.12899	0.124389	1.17968	0.102305	-14.75284	-12889.35	-12904.1
4995059	0.0243929	0.0161469	0.0141896	1.00322	130246	107079	9.99063	1.49894	0.208471	7.49415	0.148343	0.659427	0.293635	1.12903	0.124725	1.17968	0.102444	-15.27213	-12889.9	-12905.17
4995060	0.0243076	0.0161995	0.0141896	1.00322	130246	107003	9.99063	0.0611329	0.208471	7.49415	0.148343	0.659427	0.293046	1.12427	0.124369	1.17968	0.102423	-15.2473	-12890.46	-12905.71
4995061	0.0243438	0.0161995	0.0141846	1.00323	130221	107212	9.77572	2.51314	0.208471	7.49415	0.148343	0.634257	0.293046	1.12427	0.124369	1.17968	0.102423	-17.65672	-12892.49	-12910.14
4995062	0.0243438	0.0159913	0.0141846	1.00326	130248	107207	9.92177	2.44867	0.208471	7.49415	0.148343	0.634257	0.293046	1.09134	0.124428	1.18931	0.102423	-17.00001	-12887.92	-12904.92
4995063	0.0243438	0.0159913	0.0141846	1.00334	130248	107207	9.84542	2.94869	0.450442	7.49415	0.148343	0.634257	0.293046	1.09134	0.124515	1.19214	0.102423	-18.49741	-12888	-12906.49
4995064	0.0243438	0.0159913	0.0141846	1.00334	130248	107193	9.94423	3.60526	0.450442	7.49415	0.148343	0.634257	0.293046	1.09134	0.124855	1.16542	0.102423	-18.81528	-12886.92	-12905.73
4995065	0.0243438	0.0159893	0.0141846	1.00335	130248	107123	9.94423	4.0208	0.450442	10.4297	0.148238	0.634257	0.293046	1.08275	0.124399	1.17905	0.102271	-19.96851	-12887.12	-12907.09
4995066	0.0242837	0.0160631	0.0141846	1.00335	130517	107109	9.94423	4.0208	0.450442	11.2141	0.148238	0.634257	0.293046	1.09333	0.124399	1.17905	0.102193	-16.8387	-12889.68	-12906.52
4995067	0.0242837	0.0160932	0.0141846	1.00336	130517	107109	9.94423	4.0208	0.0128142	11.7905	0.148238	0.634956	0.293046	1.08108	0.124399	1.17905	0.102479	-15.59163	-12888.58	-12904.17
4995068	0.0242837	0.0161623	0.0141846	1.00349	130624	107109	9.92808	1.62832	0.0128142	10.7092	0.148238	0.634956	0.293046	1.08516	0.124399	1.17905	0.102479	-15.20139	-12888.02	-12903.22
4995069	0.0242837	0.0161623	0.0140269	1.00349	130624	107100	9.90194	1.62832	0.0128142	7.7685	0.148344	0.634956	0.293046	1.10482	0.125529	1.17905	0.102848	-12.63335	-12889.83	-12902.46
4995070	0.0242837	0.0161623	0.0140269	1.00348	130624	107127	9.90194	1.40485	0.0128142	7.7685	0.148344	0.634956	0.293046	1.09356	0.126126	1.17905	0.102462	-12.7924	-12889.83	-12902.62
4995071	0.0242837	0.0161623	0.014111	1.00344	130448	107127	9.93399	0.0654475	0.0128142	7.7685	0.148344	0.658591	0.293046	1.08924	0.125477	1.15213	0.102462	-12.42899	-12889.46	-12901.89
4995072	0.0242837	0.0161623	0.014111	1.00344	130331	107074	9.93399	0.0654475	0.0128142	9.13086	0.147905	0.658591	0.293046	1.08824	0.125477	1.15213	0.102462	-14.8205	-12888.23	-12903.05
