"iter"	"ks_Srxn1"	"kd_Srxn1"	"Ka_Srxn1"	"hill_Srxn1"	"Vmax_Srxn1"	"Km_Srxn1"	"hillact_Srxn1"	"r_Eta"	"decay_Eta"	"LnPrior"	"LnData"	"LnPosterior"
4995049	0.0242325	0.0163774	0.0141862	1.00312	130597	107031	9.77988	1.10848	0.124024	-12.39607	-12900.32	-12912.72
4995050	0.0222026	0.0163774	0.0141862	1.00312	130597	106994	9.77988	1.10848	0.124024	-13.75386	-12898.11	-12911.86
4995051	0.0214727	0.0163774	0.0141896	1.00312	130597	106994	9.77996	1.10848	0.124024	-12.58124	-12899.56	-12912.14
4995052	0.0232578	0.0163774	0.0141896	1.00341	130690	107075	9.75451	1.13438	0.124024	-13.42437	-12900.54	-12913.97
4995053	0.0232578	0.0162716	0.0141896	1.00341	130690	107030	9.72031	1.13304	0.124389	-14.05704	-12894.82	-12908.88
4995054	0.0239707	0.0162609	0.0141896	1.00366	130653	106984	9.72031	1.12899	0.124389	-14.5564	-12895.61	-12910.17
4995055	0.0239707	0.0162975	0.0141896	1.00348	130519	106984	9.99063	1.12899	0.124389	-13.21647	-12893.24	-12906.45
4995056	0.0234939	0.0162975	0.0141896	1.00348	130585	106984	9.99063	1.12899	0.124389	-13.9982	-12892.12	-12906.12
4995057	0.0234939	0.0161857	0.0141896	1.00352	130421	106984	9.99063	1.12899	0.124389	-14.48719	-12890.68	-12905.16
4995058	0.0234939	0.0161857	0.0141896	1.00322	130246	107079	9.99063	1.12899	0.124389	-14.75284	-12889.35	-12904.1
4995059	0.0243929	0.0161469	0.0141896	1.00322	130246	107079	9.99063	1.12903	0.124725	-15.27213	-12889.9	-12905.17
4995060	0.0243076	0.0161995	0.0141896	1.00322	130246	107003	9.99063	1.12427	0.124369	-15.2473	-12890.46	-12905.71
4995061	0.0243438	0.0161995	0.0141846	1.00323	130221	107212	9.77572	1.12427	0.124369	-17.65672	-12892.49	-12910.14
4995062	0.0243438	0.0159913	0.0141846	1.00326	130248	107207	9.92177	1.09134	0.124428	-17.00001	-12887.92	-12904.92
4995063	0.0243438	0.0159913	0.0141846	1.00334	130248	107207	9.84542	1.09134	0.124515	-18.49741	-12888	-12906.49
4995064	0.0243438	0.0159913	0.0141846	1.00334	130248	107193	9.94423	1.09134	0.124855	-18.81528	-12886.92	-12905.73
4995065	0.0243438	0.0159893	0.0141846	1.00335	130248	107123	9.94423	1.08275	0.124399	-19.96851	-12887.12	-12907.09
4995066	0.0242837	0.0160631	0.0141846	1.00335	130517	107109	9.94423	1.09333	0.124399	-16.8387	-12889.68	-12906.52
4995067	0.0242837	0.0160932	0.0141846	1.00336	130517	107109	9.94423	1.08108	0.124399	-15.59163	-12888.58	-12904.17
4995068	0.0242837	0.0161623	0.0141846	1.00349	130624	107109	9.92808	1.08516	0.124399	-15.20139	-12888.02	-12903.22
4995069	0.0242837	0.0161623	0.0140269	1.00349	130624	107100	9.90194	1.10482	0.125529	-12.63335	-12889.83	-12902.46
4995070	0.0242837	0.0161623	0.0140269	1.00348	130624	107127	9.90194	1.09356	0.126126	-12.7924	-12889.83	-12902.62
4995071	0.0242837	0.0161623	0.014111	1.00344	130448	107127	9.93399	1.08924	0.125477	-12.42899	-12889.46	-12901.89
4995072	0.0242837	0.0161623	0.014111	1.00344	130331	107074	9.93399	1.08824	0.125477	-14.8205	-12888.23	-12903.05
4995073	0.0227066	0.0161017	0.014111	1.00344	130331	107074	9.93399	1.08824	0.125651	-14.63149	-12888.97	-12903.6
4995074	0.0227066	0.016152	0.014111	1.00344	130331	107074	9.93399	1.09348	0.12523	-14.3928	-12888.57	-12902.97
4995075	0.0227066	0.0161423	0.014111	1.00344	130331	107137	9.93399	1.09734	0.125025	-13.92252	-12890.05	-12903.97
4995076	0.0230756	0.0160588	0.014111	1.00363	130567	107097	9.93399	1.09158	0.124688	-13.93752	-12887.83	-12901.77
4995077	0.0230756	0.0160588	0.013983	1.00363	130567	107186	9.97036	1.10113	0.124688	-14.7101	-12888.25	-12902.96
4995078	0.0230756	0.0160588	0.0140183	1.00363	130588	107129	9.97036	1.10441	0.12458	-12.4207	-12891.82	-12904.24
4995079	0.0230756	0.0161269	0.0140183	1.00372	130524	107137	9.97036	1.10441	0.123841	-12.89806	-12894.28	-12907.18
4995080	0.0244472	0.0161269	0.0140183	1.00372	130524	107144	9.97036	1.10441	0.125715	-12.84718	-12890.43	-12903.28
4995081	0.0244472	0.0160758	0.0140183	1.00372	130471	107038	9.97036	1.07012	0.125715	-12.32059	-12891.22	-12903.54
4995082	0.0244472	0.0160758	0.0138727	1.00372	130394	107043	9.97036	1.05995	0.125681	-12.8652	-12894.48	-12907.35
4995083	0.0218814	0.0159628	0.0138727	1.00372	130394	107043	9.9333	1.05995	0.125681	-13.87681	-12893.5	-12907.38
4995084	0.0225399	0.0159801	0.0139304	1.00374	130515	107043	9.93951	1.05995	0.125681	-14.75751	-12891.14	-12905.9
4995085	0.0225399	0.0159801	0.0140239	1.00374	130465	107043	9.93951	1.06436	0.126068	-14.70273	-12891.05	-12905.75
4995086	0.023015	0.0159801	0.0140239	1.00374	130465	107043	9.93951	1.09158	0.12501	-14.72281	-12887.4	-12902.12
4995087	0.0218491	0.0159801	0.0140239	1.00354	130397	106981	9.93951	1.09158	0.125047	-15.25343	-12888.6	-12903.86
4995088	0.0226323	0.0160719	0.0140239	1.00338	130397	107076	9.96503	1.0956	0.125047	-16.70618	-12886.93	-12903.64
4995089	0.0226323	0.0160527	0.0140239	1.00333	130397	107135	9.96503	1.09832	0.125026	-17.21325	-12885.21	-12902.42
4995090	0.0227546	0.0161475	0.0140239	1.00333	130397	107135	9.96503	1.09832	0.125026	-15.47251	-12886.23	-12901.7
4995091	0.0227546	0.0161475	0.0140239	1.00333	130397	107135	9.96503	1.09832	0.125393	-15.34394	-12886.32	-12901.67
4995092	0.0227546	0.0161487	0.0140239	1.00321	130397	107160	9.96503	1.09832	0.125604	-15.41845	-12886.39	-12901.81
4995093	0.0226931	0.0161487	0.0140239	1.00321	130453	107160	9.96503	1.10647	0.124792	-13.66578	-12887.34	-12901
4995094	0.0226931	0.0161487	0.0140101	1.00321	130402	107160	9.96503	1.10647	0.124792	-13.03314	-12888.04	-12901.07
4995095	0.0226931	0.0161487	0.0140101	1.00321	130518	107160	9.96503	1.09461	0.125	-14.49224	-12887.32	-12901.81
4995096	0.0217719	0.0162057	0.0140101	1.00321	130518	107176	9.96503	1.1078	0.125	-14.9611	-12889.16	-12904.12
4995097	0.0217719	0.0162057	0.0140101	1.00325	130419	107051	9.96503	1.12617	0.125087	-14.20614	-12892.16	-12906.36
4995098	0.0240185	0.0162933	0.0141117	1.00325	130519	107047	9.96503	1.09296	0.125087	-12.48064	-12889.16	-12901.65
4995099	0.0241345	0.0163447	0.0141117	1.00309	130519	107047	9.98947	1.09666	0.125087	-12.0119	-12890.1	-12902.11
4995100	0.0241345	0.0163403	0.0141117	1.00305	130405	107015	9.98947	1.09666	0.12527	-12.81411	-12889.77	-12902.58
4995101	0.0241345	0.0164185	0.0141117	1.00305	130511	107034	9.98947	1.11913	0.125184	-11.9937	-12892.14	-12904.14
4995102	0.0241345	0.0164803	0.0141117	1.003	130511	107114	9.98947	1.11913	0.124383	-12.28202	-12892.8	-12905.08
4995103	0.0238659	0.0164803	0.0141117	1.003	130511	107114	9.98947	1.09765	0.124383	-12.18655	-12892.12	-12904.31
4995104	0.0238659	0.0165118	0.0141117	1.003	130440	107161	9.95127	1.09765	0.124383	-12.93194	-12892.21	-12905.14
4995105	0.0238659	0.0164978	0.0141117	1.00301	130440	107161	9.87665	1.0706	0.124965	-12.74102	-12894.03	-12906.77
4995106	0.0238659	0.0164978	0.0141117	1.00282	130318	107161	9.96809	1.08217	0.123942	-14.95548	-12892.05	-12907.01
4995107	0.0237147	0.0165568	0.0141117	1.00282	130445	107161	9.91799	1.08217	0.124655	-12.22346	-12895.8	-12908.02
4995108	0.0237147	0.0165568	0.0141117	1.00301	130435	107167	9.98813	1.06766	0.125321	-14.87275	-12896.86	-12911.73
4995109	0.0271435	0.0165568	0.0141117	1.00304	130435	107200	9.98813	1.06766	0.125321	-13.35288	-12900.54	-12913.89
4995110	0.0271435	0.016443	0.0141117	1.00326	130542	107067	9.98813	1.07946	0.125321	-12.01974	-12901.11	-12913.13
4995111	0.0271435	0.016443	0.0141117	1.00325	130499	107067	9.90501	1.07713	0.125321	-12.10687	-12903.26	-12915.37
4995112	0.0271435	0.0164454	0.0141117	1.00321	130365	107067	9.90501	1.09121	0.125321	-12.69954	-12900.17	-12912.87
4995113	0.0240824	0.0163916	0.014303	1.00321	130365	107054	9.90501	1.09121	0.125321	-12.02793	-12892.38	-12904.41
4995114	0.0240824	0.0163916	0.014303	1.00321	130365	107017	9.92723	1.08076	0.124572	-12.02992	-12890.43	-12902.46
4995115	0.0240824	0.0163916	0.0142303	1.00321	130365	107098	9.92723	1.08076	0.124371	-13.52752	-12890.09	-12903.62
4995116	0.0237786	0.0163636	0.0142303	1.00304	130365	107144	9.92723	1.08335	0.124289	-13.06712	-12889.52	-12902.59
4995117	0.0239646	0.0163636	0.0140249	1.00331	130365	107126	9.95684	1.08335	0.124289	-14.10763	-12889.38	-12903.49
4995118	0.0239646	0.0163838	0.0140249	1.00331	130373	107126	9.98973	1.08335	0.123485	-13.97231	-12890.94	-12904.92
4995119	0.0239646	0.0163838	0.0140249	1.00334	130550	107138	9.98973	1.08335	0.125239	-13.459	-12887.64	-12901.09
4995120	0.023101	0.0163838	0.0139542	1.00334	130550	107138	9.98973	1.08335	0.125239	-13.46776	-12888.71	-12902.18
4995121	0.0226747	0.0164173	0.0139542	1.00334	130550	107170	9.95666	1.10083	0.125239	-12.99781	-12890.73	-12903.73
4995122	0.0227627	0.0164088	0.0139542	1.00334	130550	107128	9.95666	1.09223	0.125239	-12.49833	-12890.01	-12902.51
4995123	0.0226048	0.0164088	0.0139542	1.00334	130550	107054	9.99743	1.09223	0.125435	-12.45175	-12890.6	-12903.05
4995124	0.0226048	0.0162616	0.0139542	1.00334	130550	107130	9.98868	1.09223	0.125561	-12.90462	-12891.2	-12904.11
4995125	0.0226048	0.0162616	0.0139542	1.00334	130550	107157	9.98868	1.11522	0.125759	-14.1613	-12892.62	-12906.78
4995126	0.0226048	0.0162616	0.0137469	1.00322	130340	107128	9.98868	1.11522	0.125759	-13.67941	-12889.8	-12903.48
