"iter" "buildSrxn1Base.1." "degradSrxn1.1." "Kact.1." "hill.1." "Vmax_buildSrxn1.1." "Km.1." "hill_act.1." "fraction_x.1." "fraction_x.1.1." "fraction_x.1.2." "fraction_x.1.3." "fraction_x.1.4." "LnPrior" "LnData" "LnPosterior"
"111" 490110 0.021532 0.0300325 0.0403021 1 136039 99793.3 5.02512 0.131149 0.266413 0.563183 0.244399 0.145735 -49.04225 -11574.48 -11623.52
"112" 490111 0.0214691 0.0298961 0.0403021 1 136058 99793.3 5.00877 0.131149 0.264978 0.563183 0.244399 0.145735 -49.13787 -11572.57 -11621.71
"113" 490112 0.0213742 0.0298961 0.0400263 1 135726 99617.2 5.00877 0.187277 0.265416 0.563183 0.244399 0.145735 -48.74423 -11572.34 -11621.08
"114" 490113 0.0210418 0.0298961 0.0400263 1 136158 99617.2 5.00877 0.137139 0.265416 0.563183 0.244399 0.145735 -51.00442 -11568.17 -11619.18
"115" 490114 0.0210418 0.0298961 0.0400263 1 136158 99617.2 5.00877 0.204783 0.267891 0.563183 0.244399 0.145735 -51.13404 -11567.31 -11618.45
"116" 490115 0.0210904 0.0298961 0.0400263 1 136158 99617.2 5.02524 0.315003 0.266224 0.563183 0.244399 0.145735 -51.417 -11568.44 -11619.86
"117" 490116 0.0210904 0.0298961 0.0402496 1 136158 99617.2 5.01798 0.085533 0.266224 0.563183 0.2399 0.145735 -50.92551 -11567.12 -11618.04
"118" 490117 0.0210676 0.0298961 0.0399714 1 136158 99617.2 5.01798 0.0921964 0.267196 0.563183 0.2399 0.145735 -50.93278 -11566.44 -11617.37
"119" 490118 0.0210676 0.0298961 0.0399714 1.00026 136158 99617.2 5.05905 0.0921964 0.267196 0.563183 0.231027 0.147295 -50.90789 -11569.08 -11619.99
"120" 490119 0.0210676 0.0301099 0.0399714 1.00026 136158 99617.2 5.05905 0.00885356 0.26619 0.563183 0.231027 0.147295 -50.85724 -11571.3 -11622.16
"121" 490120 0.0210676 0.0301099 0.039558 1.00026 136319 99617.2 5.05905 0.0786951 0.267036 0.559617 0.237197 0.147295 -51.83372 -11569.35 -11621.18
"122" 490121 0.0211415 0.0299901 0.0392489 1.00026 136127 99617.2 5.06427 0.146749 0.267083 0.559617 0.237197 0.145148 -50.81226 -11570.23 -11621.05
"123" 490122 0.0211415 0.0299901 0.0401023 1.00026 136395 99617.2 5.05137 0.109014 0.267083 0.559617 0.23513 0.146968 -52.30413 -11568.01 -11620.31
"124" 490123 0.0211219 0.0299901 0.0401023 1.00026 136395 99776 5.05137 0.210552 0.269346 0.559058 0.24176 0.146968 -51.32807 -11574.66 -11625.99
"125" 490124 0.0211219 0.0299494 0.0399576 1.00026 136874 99776 5.05137 0.187083 0.270454 0.562293 0.24176 0.146968 -54.20609 -11566.79 -11621
"126" 490125 0.0210493 0.0299856 0.0404711 1.00002 136773 99776 5.05137 0.104061 0.270454 0.569941 0.243343 0.146968 -53.45735 -11567.56 -11621.02
"127" 490126 0.0211993 0.030016 0.0403617 1.00002 136773 99785.8 5.00681 0.104061 0.270454 0.569941 0.243343 0.148987 -53.40935 -11567.37 -11620.78
"128" 490127 0.0210812 0.0299899 0.0402755 1.00002 137196 99849.4 5.00681 0.128011 0.270454 0.56543 0.243343 0.148987 -55.70618 -11561.82 -11617.53
"129" 490128 0.0210059 0.0300886 0.0402755 1.00002 137190 99874.7 5.02159 0.175668 0.267648 0.565435 0.243343 0.148987 -55.57877 -11561.34 -11616.92
"130" 490129 0.0210059 0.0300886 0.0402755 1.00002 137190 99998.5 5.02159 0.350916 0.269368 0.566246 0.243343 0.148987 -55.16676 -11562.43 -11617.6
"131" 490130 0.0210059 0.0300886 0.040707 1.00002 137190 99998.5 5.02159 0.267435 0.269501 0.566246 0.242526 0.148987 -54.91647 -11562.33 -11617.25
"132" 490131 0.0210059 0.0300886 0.040707 1.00002 137190 99998.5 5.02159 0.267435 0.267604 0.567036 0.242526 0.149228 -54.91729 -11562.4 -11617.32
"133" 490132 0.0210059 0.0300886 0.040707 1.00002 137190 99993 5.02381 0.505162 0.267604 0.567036 0.239954 0.149463 -55.83859 -11562.1 -11617.94
"134" 490133 0.0210163 0.0300886 0.040707 1.00002 137190 100057 5.05915 0.453382 0.267604 0.567036 0.239954 0.149463 -55.14188 -11563.62 -11618.76
"135" 490134 0.0210901 0.0300886 0.0405189 1.00002 137190 99628.5 5.10219 0.453382 0.267604 0.567036 0.239954 0.149473 -58.19554 -11563.73 -11621.93
"136" 490135 0.0210901 0.0302378 0.0405189 1.00002 137190 99628.5 5.10219 0.591941 0.267478 0.567036 0.239954 0.149473 -58.89502 -11561.18 -11620.08
"137" 490136 0.0210102 0.0302866 0.0401295 1.00009 137190 99628.5 5.11386 0.551149 0.269357 0.564589 0.239954 0.149473 -58.67583 -11560.37 -11619.05
"138" 490137 0.0210102 0.0302866 0.0407439 1.00012 137344 99628.5 5.08672 0.208349 0.268877 0.564589 0.238891 0.148132 -58.47564 -11559.2 -11617.68
"139" 490138 0.0210102 0.0302866 0.0407439 1.00012 137486 99440.7 5.00714 0.0375739 0.268756 0.56379 0.238891 0.148132 -60.63876 -11558.7 -11619.34
"140" 490139 0.0210102 0.0304016 0.040766 1.00012 137353 99431.6 5.00714 0.0143046 0.267738 0.56379 0.243028 0.15206 -59.79678 -11557.16 -11616.96
"141" 490140 0.0211197 0.0304016 0.040766 1.00012 137611 99431.6 5.00714 0.0143046 0.267738 0.56362 0.23782 0.15206 -61.59028 -11557.65 -11619.24
"142" 490141 0.0211197 0.0306382 0.040766 1.00012 137966 99657 5.00714 0.0765458 0.267377 0.565924 0.23782 0.15206 -62.57628 -11556.55 -11619.13
"143" 490142 0.0210958 0.0306382 0.0401378 1.00012 137966 99657 5.00714 0.018549 0.269845 0.565819 0.23782 0.15206 -62.5235 -11556.84 -11619.37
"144" 490143 0.0210926 0.0306382 0.0401378 1.00012 137966 99414 5.00714 0.018549 0.269845 0.565819 0.23782 0.15206 -64.34523 -11553.78 -11618.13
"145" 490144 0.0210431 0.0306382 0.0413961 1.0001 138063 99414 5.00714 0.018549 0.269845 0.565819 0.245266 0.148811 -65.08761 -11554.33 -11619.41
"146" 490145 0.0210214 0.0306382 0.0398134 1.0001 138063 99414 5.0143 0.0796322 0.271392 0.565819 0.236012 0.148811 -65.11973 -11553.88 -11619
"147" 490146 0.0210214 0.0306382 0.0395379 1.0001 138063 99414 5.0143 0.090989 0.271392 0.566393 0.242571 0.148811 -65.1361 -11554.44 -11619.58
"148" 490147 0.0210214 0.0306382 0.039924 1.0001 138063 99414 5.0143 0.0953001 0.271137 0.566393 0.247991 0.151652 -65.14795 -11555.22 -11620.37
"149" 490148 0.0210214 0.0307238 0.0412147 1.0001 138063 99414 5.04905 0.187654 0.269218 0.567292 0.247991 0.151652 -65.30091 -11554.75 -11620.05
"150" 490149 0.0210567 0.0307238 0.0412147 1.0001 138063 99414 5.05766 0.417055 0.269268 0.567292 0.247991 0.151652 -65.97283 -11555.12 -11621.1
