"iter" "CDDO,r2,32hR" "CDDO,d2,32hR" "ETA,r2,32hR" "ETA,d2,32hR" "Andr,r2,32hR" "Andr,d2,32hR" "Sul,r2,32hR" "Sul,d2,32hR" "CDDO,r2,48hR" "CDDO,d2,48hR" "ETA,r2,48hR" "ETA,d2,48hR" "Andr,r2,48hR" "Andr,d2,48hR" "Sul,r2,48hR" "Sul,d2,48hR" "kp" "kd" "Kmm" "nu" "Vm2" "Kmu" "nm" "rall" "decayall" "Sul,r1" "Sul,d2" "Andr,r1" "Andr,d2" "ETA,r1" "ETA,d2" "CDDO,r1" "CDDO,d2" "LnPrior" "LnData" "LnPosterior"
"25" 20024 3.2468 0.0765349 1.38936 0.103259 1.54467 0.20483 0.00274029 0.072095 2.73658 0.0685143 0.0285241 0.0862176 0.834109 0.124423 1.67648 0.125368 0.0237553 0.0161973 0.0142307 1.00329 130463 107152 9.97556 0.958705 0.104163 10.4183 0.147736 0.657544 0.292474 1.09096 0.124541 1.16148 0.102402 -14.73774 -12886.96 -12901.7
"26" 20025 0.578138 0.0749025 3.43845 0.0999232 2.14665 0.205104 0.00274029 0.072095 2.53651 0.0685143 0.0285241 0.0862176 0.834109 0.124423 2.80117 0.125172 0.0237553 0.0161393 0.0142307 1.00329 130463 107152 9.97556 2.62139 0.18839 11.7378 0.147736 0.657544 0.293068 1.09096 0.124541 1.15805 0.102419 -16.15746 -12887.42 -12903.57
"27" 20026 0.662042 0.0750469 3.6374 0.0999232 1.21378 0.205104 0.00216936 0.072095 0.772917 0.0695459 0.0285241 0.0862176 0.492373 0.124423 3.12806 0.12518 0.0237553 0.0161985 0.0143075 1.00329 130463 107152 9.97556 2.07478 0.18839 12.9608 0.147736 0.657544 0.293068 1.10465 0.124943 1.20419 0.101935 -17.58114 -12888.08 -12905.66
"28" 20027 0.662042 0.075834 3.6374 0.10368 1.21378 0.205171 0.00188253 0.072095 1.00904 0.0695459 0.0285241 0.0862176 0.492373 0.124423 1.39509 0.124946 0.0237553 0.0161985 0.0143075 1.00329 130463 107152 9.97556 1.20063 0.18839 12.7582 0.148067 0.657544 0.292179 1.10465 0.12493 1.20419 0.102409 -17.67955 -12888.82 -12906.5
"29" 20028 0.662042 0.0763313 6.21335 0.10368 1.02604 0.205171 0.00188253 0.072095 1.00904 0.0695459 0.0285241 0.0862176 1.18159 0.124423 0.742716 0.125265 0.0237553 0.016142 0.0143075 1.00341 130450 107152 9.97556 1.74205 0.429376 12.7582 0.148067 0.657544 0.292179 1.10465 0.12493 1.20419 0.102382 -18.94305 -12889.21 -12908.15
"30" 20029 1.86719 0.0763313 3.9554 0.10368 1.79516 0.205171 0.0024893 0.072095 1.00904 0.0695459 0.0285241 0.0858297 1.96532 0.125019 2.77279 0.125265 0.0236639 0.0159853 0.0143075 1.00333 130494 107152 9.97556 1.57495 0.429376 12.7582 0.148067 0.657544 0.292179 1.10465 0.12493 1.20419 0.102246 -18.5357 -12888.38 -12906.92
"31" 20030 1.68395 0.0763313 3.95841 0.102051 2.37025 0.205171 0.00183636 0.072095 0.846784 0.0695459 0.0285241 0.0844598 1.96532 0.124076 2.77279 0.124912 0.0236639 0.0159853 0.0143075 1.00333 130494 107152 9.97556 1.57495 0.429376 12.0152 0.148067 0.657544 0.292179 1.10465 0.12493 1.18492 0.102246 -17.64394 -12888.16 -12905.81
"32" 20031 1.68395 0.0763313 1.45358 0.101813 2.97077 0.205391 0.00160171 0.072095 1.23771 0.0695459 0.0295411 0.0844598 1.85847 0.123868 2.77279 0.125524 0.0218544 0.0159853 0.0143075 1.00333 130494 107152 9.97556 1.57495 0.0265348 11.2979 0.148302 0.657544 0.292179 1.10465 0.12493 1.18492 0.102246 -15.2474 -12887.32 -12902.57
"33" 20032 1.68395 0.0766865 0.722124 0.101813 2.12693 0.205391 0.00160171 0.072095 3.90218 0.0694186 0.0295411 0.0844598 4.0997 0.123868 2.77279 0.125524 0.0218544 0.0159853 0.0143075 1.00333 130494 107152 9.97556 1.38705 0.0265348 8.35463 0.148446 0.638569 0.292179 1.09431 0.12493 1.17386 0.102246 -12.54074 -12888.54 -12901.08
"34" 20033 1.68395 0.0766865 1.7096 0.103737 2.12693 0.205391 0.00160171 0.072095 1.48106 0.0694186 0.0234888 0.0844598 3.28816 0.124253 2.45929 0.125524 0.0218544 0.0159012 0.0143075 1.00342 130494 107152 9.95867 1.38705 0.0265348 8.35463 0.148446 0.647029 0.292179 1.09173 0.12493 1.17386 0.102246 -12.83137 -12887.54 -12900.38
