"1_0" "2.15_0" "4.64_0" "10_0" "21.54_0" "46.42_0" "0_1" "1_1" "2.15_1" "4.64_1" "10_1" "21.54_1" "46.42_1" "0_2.15" "1_2.15" "2.15_2.15" "4.64_2.15" "10_2.15" "21.54_2.15" "46.42_2.15" "0_4.64" "1_4.64" "2.15_4.64" "4.64_4.64" "10_4.64" "21.54_4.64" "46.42_4.64" "0_10" "1_10" "2.15_10" "4.64_10" "10_10" "21.54_10" "46.42_10" "0_21.54" "1_21.54" "2.15_21.54" "4.64_21.54" "10_21.54" "21.54_21.54" "46.42_21.54" "0_46.42" "1_46.42" "2.15_46.42" "4.64_46.42" "10_46.42" "21.54_46.42" "46.42_46.42"
"15" 0.0575378756155503 0.541938946396846 1.30373469565944 3.30539408959121 6.81096930964855 10.4198265418959 0 0.116417288102173 0.375721396293136 1.01304793228279 2.97155640575358 6.03830992990736 9.51706492758811 0 0.0785288320427889 0.24989512714068 0.928397790358605 2.62579826924351 5.52960099553782 9.20404680987198 0 0.0489248596948074 0.347019699191941 1.12529501095853 2.84203217562784 6.10862034269577 9.07358437730931 0 0.0233593155893604 0.511390832951859 1.11085657085226 2.73579747054715 5.78331074049351 10.1230110973734 0.0120947885609763 0.202043886748067 0.420159323755225 1.41974427463083 3.08418332321604 5.60941962543115 9.96898688233619 0 0.15685978151705 0.480684365020837 1.37887783199957 2.85237727856681 6.42032880884026 9.42827173212571
"16" 0.0568963348686923 0.532668244652307 1.40543139830309 3.35850482524301 7.42088439799938 10.6582712902617 0 0.0782252810249748 0.392019916397413 1.04098136584051 3.0995130991756 6.41018789939165 9.77138803616108 0 0.0806674063112228 0.272996908054425 0.925420310053887 2.82034154641702 5.74499038725318 9.7349090386787 0 0.0710020135390568 0.355408438587137 1.22718389620677 2.81896835602837 6.40866437676513 9.6348178009076 0 0.0040732141952583 0.395457747872461 1.16622417008469 2.85534108854088 6.11101591952947 10.8327910174243 0.00160689502342082 0.222365010124542 0.45042763342717 1.41750960561789 3.28208311224998 6.01406070082262 10.2903938527078 0 0.142163940865582 0.479166225038208 1.38577598663448 2.98655066762347 7.05057577705835 9.94122171173711
"17" 0.0432431499909145 0.564190148782351 1.47558197929512 3.36964943561184 7.63128398159658 10.850783600138 0 0.0917307457591925 0.423717030656698 1.10096279143751 3.30528861201 6.56171244184387 10.6186723001001 0 0.0981506852174074 0.309054410444858 1.00986219191272 3.08306894904547 5.96359747461046 10.3610926022919 0 0.069776998086325 0.337422240719419 1.2872049331597 3.02164477272611 6.8044668337152 9.89717192176544 0 0.00450345084549947 0.469252572419353 1.21740480961976 3.12428299901669 6.50184006352156 11.3191458081312 0.013071511306173 0.206420539197009 0.493120679800725 1.55365867837608 3.3242692168851 6.38970447892085 10.7159209859781 0 0.139942199106035 0.462835165972063 1.48362799938281 3.07251923013509 7.20500613510952 10.3298092852944
"18" 0.0529571331662919 0.603790855908164 1.44099420986675 3.51417619356598 8.2144307236292 11.5000981804145 0 0.0754965545597078 0.46605224917949 1.26860754937888 3.53517106582759 6.84406562593107 11.0670014499952 0 0.111785559220275 0.288578194804359 1.01236095864225 3.31166970548015 6.18106935751898 10.4369574513371 0 0.0344299618142438 0.351760107397683 1.37585492090216 3.06024728840344 7.17721913376711 10.2032327484473 0 0.00829692710540686 0.556024657082105 1.147745307824 3.35243244852411 6.70113364246771 11.867051313219 0 0.20602583860095 0.511993075101949 1.54200852652975 3.55160933687228 6.52955264608253 11.2656736010721 0 0.149170408846352 0.479277021214503 1.5747848369444 3.18682735083767 7.51259947346461 10.8042957897852
"19" 0.0608953471126613 0.671565257682573 1.4936870947931 3.90100954093552 8.10971648846973 11.897568065823 0 0.0673115921554863 0.476788878252105 1.29514943328297 3.63459933982451 7.25604970567617 11.0063877216817 0 0.12438193485277 0.345600199201863 1.04764714623184 3.35217177555248 6.60585314773817 10.7285949209793 0 0.0399187306239313 0.308541054354161 1.43564956239259 3.2156761141774 7.45665094619403 10.5728755703836 0 0.00454488689127575 0.553851668910598 1.16968175111412 3.4625362305858 7.34908668461367 12.3632703016882 0 0.187630070458306 0.550164000217424 1.60607899995765 3.64502262302352 6.82427981847245 11.7821371223241 0 0.161406089110137 0.467443878723592 1.55957855726504 3.28052537384539 7.93188174973043 11.1818139304872
"20" 0.0950417159364069 0.703479346306195 1.56243883685092 3.92948662947586 8.31127128656196 12.2639762843361 0 0.0712667193399444 0.482050678121372 1.31822226174098 3.90906397723421 7.69960415789607 11.7393070152455 0 0.100696470444375 0.320409638019811 1.07823891496875 3.59401281897287 6.92488760666499 11.6159704176713 0 0.0434088017791654 0.419305887835351 1.51092360888098 3.36773877040105 7.81607276890774 11.0335939402395 0 0.0256353318539044 0.50000192240377 1.22733820336293 3.65166610206247 7.45348594876941 13.0045511696965 0 0.201123503994018 0.537721475571205 1.64655227447407 3.86805311918612 7.37879068963138 12.7672832191966 0 0.186083239619228 0.495900581459464 1.60315416725287 3.43174212773393 8.14604183590955 11.7865565174901
"21" 0.0421558742015207 0.737364486521943 1.65590004175485 4.21339734143651 8.89929751633068 12.802490679868 0 0.0603075781535707 0.50383714537256 1.25403382755722 4.05654715822925 7.89788971834688 12.3009604085692 0 0.11145292330191 0.363759918135574 1.12967081844274 3.65296670855135 7.11805882749835 11.6535649862569 0 0.0865859636694047 0.407900887557258 1.55475362450306 3.60776830734507 7.67736032222925 11.8134564106183 0 0.0207108879451412 0.544272390051419 1.26187847682039 3.79785968644532 7.74548210477427 13.2083182484326 0 0.163737469439194 0.542305470043973 1.66892134221074 4.05608293304855 7.4358157786906 12.9194167733529 0 0.174666640761615 0.524761247294171 1.58252197606544 3.52430966199118 8.69047212306354 12.3158486163374
"22" 0.0686043441932711 0.756372482201622 1.7187291385053 4.26578467365918 9.33556322630653 13.3369969864891 0 0.0842784217807381 0.519483199678862 1.25780487811886 3.9827042262783 8.24214267314009 12.8205523601075 0 0.117314777242251 0.333874188450682 1.13611044729444 3.64260673210436 7.8090148443092 12.2655204046505 0 0.0749572631577241 0.400984157139626 1.57002540248898 3.64507872008273 8.20897353901946 11.9447512909642 0 0.00354734297580411 0.562083921995939 1.38577742256024 3.76669591299617 7.75993592443105 13.643082519521 0 0.165094971516368 0.544730093612283 1.75408589376319 4.1946314102869 7.43509779547851 13.398663373988 0 0.165312956988504 0.557638492910376 1.58813287415264 3.6658560268749 8.93223336146947 12.6661369898688
"23" 0.0337432499065772 0.723314138669344 1.72743872489768 4.41307137001576 9.52425544803245 13.3840197083257 0 0.0700520983943292 0.512813783089917 1.32714797746498 4.20634407322522 8.31088561686517 12.5501748006299 0 0.0915997524731958 0.28971224450465 1.16750944682679 3.68332320583813 7.75901994615846 12.0922770762063 0 0.0213150116734748 0.349751264687053 1.52813028316623 3.74278633830035 8.53145432029248 12.2515832590351 0 0 0.52147108714998 1.28094490576862 3.85716289639757 8.20789117550758 14.2162878340446 0 0.134101741995068 0.51579789651591 1.74371913367512 4.21283423677334 7.59196657781713 14.1372695658804 0 0.16713019537976 0.579088436623518 1.54765878647183 3.88463105118567 9.30447460979812 12.401576516336
"24" 0.0421423879039569 0.760833556229115 1.59675093776098 4.35401509648478 9.76911503861564 13.4750647353368 0 0.0806785506088489 0.47242028146881 1.37759583938217 4.17784352123124 8.63377465158764 13.0993796996972 0 0.099288059766366 0.292638456577339 1.08645770543713 3.73056315569031 8.12521149880951 12.6528723739009 0 0.0330668795983874 0.338066596774482 1.5082625756277 3.73307694221935 8.9960083226056 12.6226366620506 0 0 0.503728907742102 1.31950180835859 3.94024606846091 8.16209803727905 14.2776347062365 0 0.122344403116978 0.549942595864898 1.65562499658364 4.45342669414337 7.97531663678918 14.3478837051658 0 0.161589650605643 0.611433217770482 1.54472916783591 3.71095036538658 9.25506883720403 12.953364348902
